"Campaign","Parent Campaign","Total Received","Donations","Goal","Projected Total","Outstanding Pledges","Starts On","Ends On","Status",
"Annual Fund Drive - 2025-2026","Annual Fund Drive All Years","15275.0","15275.0","70000.0","15275.0","0.0","07/01/2025","06/30/2026","ACTIVE",
"Annual Fund Drive All Years","","0.0","0.0","","0.0","0.0","","","ACTIVE",
"Bequest","","3000.0","3000.0","","3000.0","0.0","","","ACTIVE",
"Classes & Workshops","","0.0","0.0","","0.0","0.0","","","ACTIVE",
"Community Garden","","2032.33","2032.33","","2032.33","0.0","03/01/2015","","ACTIVE",
"Community Services","","14777.0","14777.0","","14777.0","0.0","","","ACTIVE",
"Corp Fund Drive All Years","","0.0","0.0","","0.0","0.0","","","ACTIVE",
"Corp Fund Drive-2025-2026","Corp Fund Drive All Years","0.0","0.0","5000.0","0.0","0.0","07/01/2025","06/30/2026","ACTIVE",
"Corporate Fund Drive Playbill  25/26 Season","Corp Fund Drive All Years","13800.0","13800.0","15000.0","16400.0","2600.0","","07/31/2025","ACTIVE",
"Corporate Misc.Donation","","15116.8","15116.8","","15116.8","0.0","","","ACTIVE",
"Dance Program","","3345.62","3345.62","","3345.62","0.0","","","ACTIVE",
"Endowment","","860587.55","860587.55","","860587.55","0.0","","","ACTIVE",
"Foundation","","6000.0","6000.0","","6000.0","0.0","","","ACTIVE",
"Fundraising","","8190.37","8190.37","","8190.37","0.0","","","ACTIVE",
"Gala Auction Item Purchase","","4145.0","4145.0","","4145.0","0.0","","","ACTIVE",
"Gala Donation/Sponsorship","","27522.51","27522.51","","27522.51","0.0","","","ACTIVE",
"Gala Event Donations","Misc Donation","16881.0","16881.0","","16881.0","0.0","","","ACTIVE",
"Gala Sponsorship/Playbill","","2000.0","2000.0","9000.0","3000.0","1000.0","","06/30/2025","ACTIVE",
"Gala Ticket Sales","","0.0","0.0","","0.0","0.0","","","ACTIVE",
"Grant Request","","46190.0","46190.0","","46190.0","0.0","","","ACTIVE",
"Lovejoy Artist Housing Campaign","","600.0","600.0","50000.0","600.0","0.0","07/01/2023","","ACTIVE",
"Misc Donation","","71466.95","71466.95","","71466.95","0.0","","","ACTIVE",
"Misc.Donation/Campus Use","Misc Donation","11064.01","11064.01","","11064.01","0.0","","","ACTIVE",
"Misc.Donation/Event Purchase","Misc Donation","7191.63","7191.63","","7191.63","0.0","","","ACTIVE",
"Misc.Donation/Honor Memory","Misc Donation","2526.13","2526.13","","2526.13","0.0","","","ACTIVE",
"Misc.Donation/Restricted","Misc Donation","31318.0","31318.0","","31318.0","0.0","","","ACTIVE",
"Performances","","1500.0","1500.0","","1500.0","0.0","","","ACTIVE",
"Program Sponsorship","","6884.56","6884.56","","6884.56","0.0","","","ACTIVE",
"Scholarship Fund","","11279.0","11279.0","","11279.0","0.0","","","ACTIVE",
"Shakespeare in the Park","","2170.0","2170.0","","2170.0","0.0","","","ACTIVE",
"Sustaining Donor","","41023.77","41023.77","","41023.77","0.0","","","ACTIVE",
