"Event ID","Event Name","Category","Topic","Code","Attendees","Waitlisted","Starts On","Status","Ends On",
"17328","Còig - Celtic Music Concert - Sunday, December 7, 2025 at 6pm","Music Performances","","","0","0","12/07/2025","ACTIVE","12/07/2025",
"17340","Whispering Bones - Ghost Stories - Saturday, October 25, 2025 at 7:30 pm","Theater Performances","","","0","0","10/25/2025","ACTIVE","10/25/2025",
"16683","Music From Salem Fall Concert - Sunday, October 19, 2025 at 3:00pm","Music from Salem Performances","","","1","0","10/19/2025","ACTIVE","10/19/2025",
"16738","Genticorum - Québécois Celtic Music Concert -Saturday, September 20, 2025 at 7pm","Music Performances","","","2","0","09/20/2025","ACTIVE","09/20/2025",
"16818","Seagle Fest - Music of the Night-the music of Andrew Lloyd Webber-Sunday, September 14, 2025 at 2pm","Music Performances","","","4","0","09/14/2025","ACTIVE","09/14/2025",
"16733","Durham County Poets - Canadian Roots Music Concert - Friday, August 22, 2025 at 7pm","Music Performances","","","0","0","08/22/2025","ACTIVE","08/22/2025",
"11637","Breaking Bread - Wednesday, August 20th, 2025 at 6:30 pm on the Farm","Community Events","","","0","0","08/20/2025","ACTIVE","08/20/2025",
"17335","As You Like It - Free Summer Shakespeare Tour August 20 - 24th, 2025","Shakespeare","","","0","0","08/20/2025","ACTIVE","08/24/2025",
"17345","FREE -Artists-in-Residence Sharing: Scenes, Stories, and a Film  - August 10, 2025 at 1pm","Theater Performances","","","0","0","08/10/2025","ACTIVE","08/10/2025",
"16813","Balance Workshop (Ages 16 & Up) - Thursdays, August 7 & 14, 2025. 4:00 - 5:00 pm","Fitness & Movement Classes","Jacquie Farbman","","4","0","08/07/2025","ACTIVE","08/07/2025",
"16808","Balance Workshop (Ages 16 & Up) - Thursdays, August 7 & 14, 2025, 4:00 - 5:00 pm","Fitness & Movement Classes","Jacquie Farbman","","0","0","08/07/2025","INACTIVE","08/07/2025",
"16678","Music From Salem Summer Concert - Sunday, August 3, 2025 at 4:00pm","Music from Salem Performances","","","3","0","08/03/2025","ACTIVE","08/03/2025",
"16758","Honk JR - Youth Theatre Performance - Saturday, August 2, 2025 at 2:00 pm","Theater Performances","","","28","0","08/02/2025","ACTIVE","08/02/2025",
"16763","Honk JR - Youth Theatre Performance - Friday, August 1, 2025 at 7:00 pm","Theater Performances","","","43","0","08/01/2025","ACTIVE","08/01/2025",
"16708","Afternoon Arts - Week 4  July 28 - August 1, 2025 Mon-Fri, 12pm - 4pm *Class is Full*","Children's Art Classes","Shawna Martinez","","16","0","07/28/2025","ACTIVE","08/01/2025",
"16753","Beetlejuice JR - Teen Theatre Performance - Saturday, July 26, 2025 at 2:00 pm","Theater Performances","","","44","0","07/26/2025","ACTIVE","07/26/2025",
"16748","Beetlejuice JR - Teen Theatre Performance - Friday, July 25, 2025 at 7:00 pm","Theater Performances","","","75","0","07/25/2025","ACTIVE","07/25/2025",
"16768","Rise & Shine Morning Yoga (Ages 16 and up) Thursdays, July 10-31, 2025—8:00-8:45 am","Pilates/Yoga","Jenette Wilkinson ","","7","0","07/24/2025","ACTIVE","07/24/2025",
"16773","Yin Yoga (Ages 16 and up) Tuesdays, July 8-29, 2025—6:00-7:00 pm","Pilates/Yoga","Jenette Wilkinson ","","13","0","07/22/2025","ACTIVE","07/22/2025",
